      Step     Time          Energy          fmax
FIRE:    0 16:40:09       74.896996       37.425846
FIRE:    1 16:40:09       57.403655       21.181173
FIRE:    2 16:40:09       47.010287       12.642894
FIRE:    3 16:40:09       40.659225       11.170977
FIRE:    4 16:40:09       36.603982        9.559065
FIRE:    5 16:40:09       34.003971        8.494853
FIRE:    6 16:40:09       32.353384        8.787059
FIRE:    7 16:40:10       31.001760        8.973303
FIRE:    8 16:40:10       29.074175        8.907327
FIRE:    9 16:40:10       26.084650        8.471331
FIRE:   10 16:40:10       22.410834        7.724358
FIRE:   11 16:40:10       18.832701        6.863665
FIRE:   12 16:40:10       15.899293        6.077057
FIRE:   13 16:40:10       13.793219        5.481547
FIRE:   14 16:40:10       12.418583        5.112924
FIRE:   15 16:40:10       11.500044        4.881044
FIRE:   16 16:40:10       10.710716        4.627365
FIRE:   17 16:40:10        9.803535        4.218805
FIRE:   18 16:40:10        8.757815        3.632413
FIRE:   19 16:40:10        7.762884        2.969144
FIRE:   20 16:40:10        7.012478        2.353224
FIRE:   21 16:40:10        6.552546        1.838293
FIRE:   22 16:40:11        6.280449        1.390922
FIRE:   23 16:40:11        6.077828        0.961713
FIRE:   24 16:40:11        5.899087        0.877892
FIRE:   25 16:40:11        5.762854        0.916189
FIRE:   26 16:40:11        5.707994        0.926273
FIRE:   27 16:40:11        5.529966        0.846708
FIRE:   28 16:40:11        5.350781        0.757467
FIRE:   29 16:40:11        5.228589        0.668877
FIRE:   30 16:40:11        5.088337        0.614721
FIRE:   31 16:40:11        4.965228        0.563870
FIRE:   32 16:40:11        4.873285        0.489993
FIRE:   33 16:40:12        4.746987        0.435010
FIRE:   34 16:40:12        4.622824        0.395091
FIRE:   35 16:40:12        4.526647        0.352479
FIRE:   36 16:40:12        4.435948        0.362248
FIRE:   37 16:40:12        4.352132        0.338586
FIRE:   38 16:40:12        4.265255        0.383640
FIRE:   39 16:40:12        4.186296        0.399300
FIRE:   40 16:40:12        4.107412        0.363154
FIRE:   41 16:40:12        4.034161        0.320112
FIRE:   42 16:40:12        3.957322        0.318591
FIRE:   43 16:40:12        3.881846        0.344950
FIRE:   44 16:40:13        3.803774        0.353839
FIRE:   45 16:40:13        3.724107        0.347606
FIRE:   46 16:40:13        3.645764        0.351794
FIRE:   47 16:40:13        3.568818        0.359963
FIRE:   48 16:40:13        3.488368        0.364226
FIRE:   49 16:40:13        3.406704        0.370620
FIRE:   50 16:40:13        3.322572        0.382706
FIRE:   51 16:40:13        3.236420        0.391203
FIRE:   52 16:40:13        3.147688        0.393772
FIRE:   53 16:40:13        3.055894        0.401370
FIRE:   54 16:40:13        2.960829        0.419451
FIRE:   55 16:40:13        2.862890        0.440011
FIRE:   56 16:40:14        2.761701        0.455388
FIRE:   57 16:40:14        2.656160        0.461171
FIRE:   58 16:40:14        2.546124        0.459983
FIRE:   59 16:40:14        2.431497        0.456894
FIRE:   60 16:40:14        2.312284        0.458096
FIRE:   61 16:40:14        2.188701        0.463652
FIRE:   62 16:40:14        2.061364        0.466256
FIRE:   63 16:40:15        1.931463        0.459441
FIRE:   64 16:40:15        1.801298        0.440061
FIRE:   65 16:40:15        1.674120        0.407371
FIRE:   66 16:40:15        1.553449        0.365360
FIRE:   67 16:40:15        1.442638        0.367845
FIRE:   68 16:40:15        1.344610        0.361556
FIRE:   69 16:40:15        1.261538        0.344179
FIRE:   70 16:40:15        1.194821        0.313514
FIRE:   71 16:40:15        1.147186        0.268896
FIRE:   72 16:40:15        1.125612        0.210324
FIRE:   73 16:40:15        1.140127        0.331474
FIRE:   74 16:40:15        1.102759        0.176601
FIRE:   75 16:40:16        1.085525        0.168396
FIRE:   76 16:40:16        1.078690        0.157673
