      Step     Time          Energy          fmax
FIRE:    0 14:23:21       25.199728       11.545809
FIRE:    1 14:23:21       18.886723        8.110911
FIRE:    2 14:23:21       14.381626        6.078549
FIRE:    3 14:23:22       11.189793        5.287296
FIRE:    4 14:23:22        8.950321        4.611481
FIRE:    5 14:23:23        7.406150        4.027099
FIRE:    6 14:23:23        6.379777        3.513102
FIRE:    7 14:23:23        5.743163        3.052687
FIRE:    8 14:23:23        5.373916        2.630920
FIRE:    9 14:23:23        5.125828        2.230285
FIRE:   10 14:23:23        4.828243        1.981620
FIRE:   11 14:23:23        4.364366        2.041279
FIRE:   12 14:23:24        3.770526        1.735579
FIRE:   13 14:23:24        3.196893        1.242855
FIRE:   14 14:23:24        2.773562        0.738985
FIRE:   15 14:23:24        2.548791        0.483386
FIRE:   16 14:23:24        2.503492        0.665019
FIRE:   17 14:23:24        2.491465        0.669371
FIRE:   18 14:23:24        2.468575        0.677199
FIRE:   19 14:23:25        2.436618        0.686915
FIRE:   20 14:23:25        2.397235        0.696564
FIRE:   21 14:23:25        2.351260        0.704266
FIRE:   22 14:23:25        2.298538        0.708753
FIRE:   23 14:23:25        2.238224        0.709867
FIRE:   24 14:23:25        2.161382        0.708196
FIRE:   25 14:23:25        2.062878        0.704471
FIRE:   26 14:23:25        1.936485        0.699414
FIRE:   27 14:23:25        1.774387        0.694251
FIRE:   28 14:23:25        1.603946        0.695074
FIRE:   29 14:23:26        1.426613        0.704177
FIRE:   30 14:23:26        1.244317        0.704726
FIRE:   31 14:23:26        1.062299        0.702782
FIRE:   32 14:23:26        0.884071        0.696387
FIRE:   33 14:23:26        0.714225        0.678455
FIRE:   34 14:23:26        0.558133        0.644826
FIRE:   35 14:23:26        0.420927        0.593768
FIRE:   36 14:23:26        0.306211        0.526113
FIRE:   37 14:23:27        0.214264        0.445799
FIRE:   38 14:23:27        0.140489        0.360146
FIRE:   39 14:23:27        0.076418        0.278244
FIRE:   40 14:23:27        0.014461        0.207289
FIRE:   41 14:23:27       -0.046160        0.149807
FIRE:   42 14:23:27       -0.097899        0.124880
FIRE:   43 14:23:27       -0.131138        0.105893
FIRE:   44 14:23:27       -0.145906        0.102006
FIRE:   45 14:23:27       -0.154276        0.122677
FIRE:   46 14:23:27       -0.167047        0.097559
FIRE:   47 14:23:27       -0.179853        0.048266
FIRE:   48 14:23:27       -0.176381        0.054556
FIRE:   49 14:23:27       -0.180474        0.023155
FIRE:   50 14:23:27       -0.178169        0.047393
FIRE:   51 14:23:28       -0.179435        0.035720
FIRE:   52 14:23:28       -0.180769        0.027223
FIRE:   53 14:23:28       -0.181009        0.019784
FIRE:   54 14:23:28       -0.181039        0.019653
FIRE:   55 14:23:28       -0.181093        0.019399
FIRE:   56 14:23:28       -0.181157        0.019032
FIRE:   57 14:23:28       -0.181219        0.018565
FIRE:   58 14:23:28       -0.181269        0.018013
FIRE:   59 14:23:28       -0.181308        0.017398
FIRE:   60 14:23:28       -0.181343        0.016752
FIRE:   61 14:23:28       -0.181389        0.016041
FIRE:   62 14:23:28       -0.181457        0.015290
FIRE:   63 14:23:28       -0.181552        0.014534
FIRE:   64 14:23:29       -0.181668        0.013824
FIRE:   65 14:23:29       -0.181793        0.013215
FIRE:   66 14:23:29       -0.181923        0.012726
FIRE:   67 14:23:29       -0.182073        0.012301
FIRE:   68 14:23:29       -0.182245        0.011803
FIRE:   69 14:23:29       -0.182422        0.010989
FIRE:   70 14:23:29       -0.182604        0.009553
