      Step     Time          Energy          fmax
BFGS:    0 15:01:58       -0.330644       29.892506
BFGS:    1 15:01:59      -23.809696       10.272879
BFGS:    2 15:01:59      -26.557190        8.822336
BFGS:    3 15:01:59      -29.550541        7.064366
BFGS:    4 15:02:00      -32.007088        5.545789
BFGS:    5 15:02:00      -33.980572        4.228369
BFGS:    6 15:02:00      -35.517082        3.076355
BFGS:    7 15:02:00      -36.655025        2.057935
BFGS:    8 15:02:01      -37.427067        1.143851
BFGS:    9 15:02:01      -37.863464        0.838723
BFGS:   10 15:02:01      -38.008011        0.827021
BFGS:   11 15:02:02      -38.075813        0.876037
BFGS:   12 15:02:02      -38.264252        0.802926
BFGS:   13 15:02:02      -38.423668        0.695764
BFGS:   14 15:02:03      -38.752274        1.094248
BFGS:   15 15:02:03      -38.936275        1.990119
BFGS:   16 15:02:03      -39.175041        2.780187
BFGS:   17 15:02:04      -39.575871        2.444415
BFGS:   18 15:02:04      -39.968781        1.526328
BFGS:   19 15:02:04      -40.117088        0.971357
BFGS:   20 15:02:04      -40.135315        0.977090
BFGS:   21 15:02:05      -40.213890        0.936906
BFGS:   22 15:02:05      -40.308479        0.848607
BFGS:   23 15:02:05      -40.501427        0.527546
BFGS:   24 15:02:05      -40.565655        0.431681
BFGS:   25 15:02:06      -40.615852        0.299332
BFGS:   26 15:02:06      -40.624897        0.259322
BFGS:   27 15:02:07      -40.634537        0.164545
BFGS:   28 15:02:07      -40.638264        0.168576
BFGS:   29 15:02:07      -40.639927        0.182183
BFGS:   30 15:02:08      -40.643234        0.199790
BFGS:   31 15:02:08      -40.648979        0.216315
BFGS:   32 15:02:09      -40.659836        0.233425
BFGS:   33 15:02:09      -40.673523        0.216895
BFGS:   34 15:02:09      -40.682625        0.186129
BFGS:   35 15:02:10      -40.686436        0.131885
BFGS:   36 15:02:10      -40.688122        0.068682
BFGS:   37 15:02:10      -40.688580        0.054049
BFGS:   38 15:02:11      -40.688854        0.048529
BFGS:   39 15:02:11      -40.689186        0.049474
BFGS:   40 15:02:11      -40.689529        0.042017
BFGS:   41 15:02:12      -40.689735        0.021970
BFGS:   42 15:02:12      -40.689800        0.005661
