      Step     Time          Energy          fmax
BFGS:    0 15:03:52      -20.041151       21.810013
BFGS:    1 15:03:53      -24.069456       18.199239
BFGS:    2 15:03:53      -27.415163       15.007384
BFGS:    3 15:03:53      -30.161407       12.228932
BFGS:    4 15:03:53      -32.388130        9.856802
BFGS:    5 15:03:54      -34.176758        7.886017
BFGS:    6 15:03:54      -35.602356        6.250954
BFGS:    7 15:03:54      -36.725372        4.862603
BFGS:    8 15:03:54      -37.588921        3.636830
BFGS:    9 15:03:54      -38.223328        2.529373
BFGS:   10 15:03:54      -38.655880        1.544245
BFGS:   11 15:03:55      -38.919239        0.815111
BFGS:   12 15:03:55      -39.055855        0.904322
BFGS:   13 15:03:55      -39.110516        0.932680
BFGS:   14 15:03:55      -39.178925        0.921502
BFGS:   15 15:03:56      -39.300251        0.809537
BFGS:   16 15:03:56      -39.438770        0.702172
BFGS:   17 15:03:56      -39.530354        0.512698
BFGS:   18 15:03:56      -39.590237        0.262315
BFGS:   19 15:03:56      -39.620735        0.064182
BFGS:   20 15:03:57      -39.622200        0.055380
BFGS:   21 15:03:57      -39.622475        0.050799
BFGS:   22 15:03:57      -39.622849        0.041926
BFGS:   23 15:03:57      -39.623528        0.026628
BFGS:   24 15:03:57      -39.624008        0.018736
BFGS:   25 15:03:58      -39.624146        0.005568
