      Step     Time          Energy          fmax
FIRE:    0 13:15:14      428.490078      136.484642
FIRE:    1 13:15:14      399.787793      130.344047
FIRE:    2 13:15:14      372.710517      124.307375
FIRE:    3 13:15:14      347.169907      118.379942
FIRE:    4 13:15:14      323.084432      112.568609
FIRE:    5 13:15:14      300.377134      106.881553
FIRE:    6 13:15:14      278.973311      101.331605
FIRE:    7 13:15:14      258.800058       95.922818
FIRE:    8 13:15:14      239.786437       90.656043
FIRE:    9 13:15:14      221.865264       85.539243
FIRE:   10 13:15:14      204.973939       80.579784
FIRE:   11 13:15:14      189.056197       75.785055
FIRE:   12 13:15:14      174.063358       71.158662
FIRE:   13 13:15:15      159.955007       66.703002
FIRE:   14 13:15:15      146.697459       62.421839
FIRE:   15 13:15:15      134.262558       58.310617
FIRE:   16 13:15:15      122.624916       54.376749
FIRE:   17 13:15:15      111.757945       50.620076
FIRE:   18 13:15:15      101.635518       47.028662
FIRE:   19 13:15:15       92.230185       43.602382
FIRE:   20 13:15:15       83.512006       40.338294
FIRE:   21 13:15:15       75.450612       37.229353
FIRE:   22 13:15:15       68.015520       34.271281
FIRE:   23 13:15:15       61.176117       31.460069
FIRE:   24 13:15:15       54.902222       28.792077
FIRE:   25 13:15:15       49.164092       26.266971
FIRE:   26 13:15:15       43.932360       23.881342
FIRE:   27 13:15:15       39.179452       21.626764
FIRE:   28 13:15:15       34.879447       19.499221
FIRE:   29 13:15:15       31.007309       17.495860
FIRE:   30 13:15:15       27.538709       15.613866
FIRE:   31 13:15:15       24.449898       13.851588
FIRE:   32 13:15:15       21.716773       12.209068
FIRE:   33 13:15:15       19.316313       10.674392
FIRE:   34 13:15:15       17.227718        9.241510
FIRE:   35 13:15:15       15.430607        7.908036
FIRE:   36 13:15:15       13.904709        6.671185
FIRE:   37 13:15:15       12.629917        5.527643
FIRE:   38 13:15:15       11.586258        4.473919
FIRE:   39 13:15:15       10.753693        3.506697
FIRE:   40 13:15:15       10.111631        2.624310
FIRE:   41 13:15:16        9.637921        1.827135
FIRE:   42 13:15:16        9.308538        1.113040
FIRE:   43 13:15:16        9.097152        0.892126
FIRE:   44 13:15:16        8.975721        0.978393
FIRE:   45 13:15:16        8.918360        1.051886
FIRE:   46 13:15:16        8.901493        1.109503
FIRE:   47 13:15:16        8.399920        0.941368
FIRE:   48 13:15:16        8.028648        0.737148
FIRE:   49 13:15:16        7.809665        0.497469
FIRE:   50 13:15:16        7.744031        0.752522
FIRE:   51 13:15:16        7.670557        0.562589
FIRE:   52 13:15:16        7.593308        0.399736
FIRE:   53 13:15:16        7.537431        0.453788
FIRE:   54 13:15:16        7.455354        0.447366
FIRE:   55 13:15:16        7.338834        0.385715
FIRE:   56 13:15:16        7.237561        0.311288
FIRE:   57 13:15:16        7.131849        0.278622
FIRE:   58 13:15:16        6.996373        0.310152
FIRE:   59 13:15:16        6.841613        0.385266
FIRE:   60 13:15:16        6.675296        0.469668
FIRE:   61 13:15:16        6.492221        0.540901
FIRE:   62 13:15:16        6.291098        0.594481
FIRE:   63 13:15:16        6.074894        0.635394
FIRE:   64 13:15:16        5.843506        0.672881
FIRE:   65 13:15:16        5.595885        0.708572
FIRE:   66 13:15:16        5.332803        0.744733
FIRE:   67 13:15:17        5.055169        0.779690
FIRE:   68 13:15:17        4.765619        0.809253
FIRE:   69 13:15:17        4.467491        0.833030
FIRE:   70 13:15:17        4.164802        0.848152
FIRE:   71 13:15:17        3.863473        0.850286
FIRE:   72 13:15:17        3.571909        0.834805
FIRE:   73 13:15:17        3.300820        0.796981
FIRE:   74 13:15:17        3.061717        0.733332
FIRE:   75 13:15:17        2.863598        0.641762
FIRE:   76 13:15:17        2.708906        0.614484
FIRE:   77 13:15:17        2.587815        0.704497
FIRE:   78 13:15:17        2.476773        0.757629
FIRE:   79 13:15:17        2.355420        0.762846
FIRE:   80 13:15:17        2.226350        0.721474
FIRE:   81 13:15:17        2.114836        0.644984
FIRE:   82 13:15:17        2.046772        0.545921
FIRE:   83 13:15:17        2.025903        0.431993
FIRE:   84 13:15:17        1.987582        0.305627
FIRE:   85 13:15:17        1.954123        0.196356
FIRE:   86 13:15:17        1.946816        0.167682
FIRE:   87 13:15:17        1.944747        0.163433
FIRE:   88 13:15:17        1.941422        0.155384
FIRE:   89 13:15:17        1.938028        0.144233
FIRE:   90 13:15:17        1.935436        0.130705
FIRE:   91 13:15:17        1.933620        0.115693
FIRE:   92 13:15:17        1.931782        0.100261
FIRE:   93 13:15:18        1.929192        0.085189
FIRE:   94 13:15:18        1.925342        0.069641
FIRE:   95 13:15:18        1.920771        0.054556
FIRE:   96 13:15:18        1.916635        0.058213
FIRE:   97 13:15:18        1.913130        0.061312
FIRE:   98 13:15:18        1.908787        0.057459
FIRE:   99 13:15:18        1.903187        0.045613
FIRE:  100 13:15:18        1.898786        0.025077
FIRE:  101 13:15:18        1.895936        0.039369
FIRE:  102 13:15:18        1.893202        0.022158
FIRE:  103 13:15:18        1.893573        0.039452
FIRE:  104 13:15:18        1.893168        0.031036
FIRE:  105 13:15:18        1.892673        0.018863
FIRE:  106 13:15:18        1.892453        0.016679
FIRE:  107 13:15:18        1.892569        0.017186
FIRE:  108 13:15:18        1.892545        0.016211
FIRE:  109 13:15:18        1.892503        0.014315
FIRE:  110 13:15:18        1.892450        0.011612
FIRE:  111 13:15:18        1.892398        0.010414
FIRE:  112 13:15:18        1.892356        0.009285
