      Step     Time          Energy          fmax
BFGS:    0 15:51:30      -18.144018       28.906004
BFGS:    1 15:51:30      -31.723478        6.681366
BFGS:    2 15:51:30      -34.190044        4.762922
BFGS:    3 15:51:31      -36.429974        3.453965
BFGS:    4 15:51:31      -37.668098        2.438202
BFGS:    5 15:51:31      -38.441452        1.587855
BFGS:    6 15:51:31      -38.881226        1.527100
BFGS:    7 15:51:32      -39.072571        1.386874
BFGS:    8 15:51:32      -39.204853        1.059306
BFGS:    9 15:51:32      -39.319332        0.489827
BFGS:   10 15:51:32      -39.365997        0.428576
BFGS:   11 15:51:32      -39.375473        0.352735
BFGS:   12 15:51:32      -39.380707        0.291058
BFGS:   13 15:51:33      -39.387520        0.295113
BFGS:   14 15:51:33      -39.403023        0.350756
BFGS:   15 15:51:33      -39.427483        0.360559
BFGS:   16 15:51:33      -39.447823        0.269222
BFGS:   17 15:51:34      -39.459267        0.216773
BFGS:   18 15:51:34      -39.465946        0.196029
BFGS:   19 15:51:34      -39.471012        0.147603
BFGS:   20 15:51:34      -39.476582        0.066669
BFGS:   21 15:51:34      -39.478447        0.036441
BFGS:   22 15:51:35      -39.478748        0.030706
BFGS:   23 15:51:35      -39.478840        0.022716
BFGS:   24 15:51:35      -39.478928        0.011588
BFGS:   25 15:51:35      -39.478970        0.008771
