      Step     Time          Energy          fmax
FIRE:    0 11:36:32      145.904783       75.164361
FIRE:    1 11:36:32      112.323508       52.456806
FIRE:    2 11:36:32       88.963435       35.935964
FIRE:    3 11:36:32       72.957314       24.043095
FIRE:    4 11:36:32       62.155942       15.582982
FIRE:    5 11:36:32       54.959903       15.287173
FIRE:    6 11:36:32       50.187816       15.114167
FIRE:    7 11:36:32       46.977911       14.855862
FIRE:    8 11:36:32       44.714198       14.506770
FIRE:    9 11:36:32       42.978941       14.068741
FIRE:   10 11:36:32       41.494723       13.550460
FIRE:   11 11:36:32       40.066718       12.967055
FIRE:   12 11:36:32       38.543789       12.339589
FIRE:   13 11:36:32       36.814527       11.686222
FIRE:   14 11:36:32       34.831239       11.023408
FIRE:   15 11:36:32       32.629289       10.367453
FIRE:   16 11:36:32       30.315183        9.727158
FIRE:   17 11:36:32       28.022271        9.106185
FIRE:   18 11:36:32       25.862120        8.515899
FIRE:   19 11:36:32       23.899382        7.953848
FIRE:   20 11:36:32       22.157550        7.400844
FIRE:   21 11:36:32       20.630339        6.856046
FIRE:   22 11:36:32       19.293934        6.321005
FIRE:   23 11:36:32       18.118695        5.796379
FIRE:   24 11:36:32       17.075787        5.283582
FIRE:   25 11:36:32       16.140852        4.785624
FIRE:   26 11:36:33       15.295116        4.306014
FIRE:   27 11:36:33       14.524887        3.843980
FIRE:   28 11:36:33       13.820536        3.401624
FIRE:   29 11:36:33       13.175232        2.981710
FIRE:   30 11:36:33       12.584328        2.585996
FIRE:   31 11:36:33       12.044718        2.215964
FIRE:   32 11:36:33       11.554551        1.873065
FIRE:   33 11:36:33       11.111844        1.557714
FIRE:   34 11:36:33       10.713935        1.268835
FIRE:   35 11:36:33       10.357120        1.134067
FIRE:   36 11:36:33       10.036716        1.078242
FIRE:   37 11:36:33        9.748037        1.013621
FIRE:   38 11:36:33        9.488135        0.939668
FIRE:   39 11:36:33        9.257745        0.852856
FIRE:   40 11:36:33        9.062635        0.745992
FIRE:   41 11:36:33        8.912023        0.611623
FIRE:   42 11:36:33        8.812180        0.444570
FIRE:   43 11:36:33        8.760954        0.625907
FIRE:   44 11:36:33        8.750444        0.829964
FIRE:   45 11:36:33        8.651300        0.433822
FIRE:   46 11:36:33        8.610535        0.076864
FIRE:   47 11:36:33        8.610107        0.070143
FIRE:   48 11:36:33        8.609418        0.057147
FIRE:   49 11:36:33        8.608725        0.038838
FIRE:   50 11:36:33        8.608267        0.020708
FIRE:   51 11:36:34        8.608141        0.031189
FIRE:   52 11:36:34        8.608129        0.030860
FIRE:   53 11:36:34        8.608106        0.030210
FIRE:   54 11:36:34        8.608074        0.029259
FIRE:   55 11:36:34        8.608036        0.028033
FIRE:   56 11:36:34        8.607994        0.026571
FIRE:   57 11:36:34        8.607949        0.024921
FIRE:   58 11:36:34        8.607903        0.023145
FIRE:   59 11:36:34        8.607852        0.021117
FIRE:   60 11:36:34        8.607793        0.018900
FIRE:   61 11:36:34        8.607724        0.016602
FIRE:   62 11:36:34        8.607642        0.014370
FIRE:   63 11:36:34        8.607546        0.013239
FIRE:   64 11:36:34        8.607434        0.013104
FIRE:   65 11:36:34        8.607306        0.012030
FIRE:   66 11:36:34        8.607164        0.014058
FIRE:   67 11:36:34        8.607015        0.016523
FIRE:   68 11:36:34        8.606870        0.018591
FIRE:   69 11:36:34        8.606727        0.019138
FIRE:   70 11:36:34        8.606581        0.017387
FIRE:   71 11:36:34        8.606454        0.013271
FIRE:   72 11:36:34        8.606352        0.008701
