      Step     Time          Energy          fmax
FIRE:    0 16:41:54       60.454568       55.652371
FIRE:    1 16:41:54       50.071900       47.908487
FIRE:    2 16:41:54       41.126733       40.872560
FIRE:    3 16:41:55       33.438002       34.512495
FIRE:    4 16:41:55       26.981514       28.842358
FIRE:    5 16:41:55       21.624720       23.832575
FIRE:    6 16:41:55       17.214095       19.421455
FIRE:    7 16:41:55       13.627993       15.559616
FIRE:    8 16:41:55       10.769703       12.210011
FIRE:    9 16:41:55        8.550211        9.334344
FIRE:   10 16:41:55        6.881055        6.894067
FIRE:   11 16:41:55        5.675912        4.851670
FIRE:   12 16:41:55        4.860722        3.141433
FIRE:   13 16:41:55        4.372660        1.731500
FIRE:   14 16:41:55        4.154222        0.588216
FIRE:   15 16:41:55        4.143370        0.771946
FIRE:   16 16:41:55        4.133887        0.746249
FIRE:   17 16:41:55        4.116711        0.695366
FIRE:   18 16:41:55        4.094979        0.620695
FIRE:   19 16:41:55        4.072320        0.525166
FIRE:   20 16:41:55        4.051860        0.413924
FIRE:   21 16:41:55        4.035626        0.294485
FIRE:   22 16:41:55        4.024438        0.315827
FIRE:   23 16:41:55        4.016874        0.392018
FIRE:   24 16:41:55        4.010393        0.425930
FIRE:   25 16:41:55        4.001184        0.402601
FIRE:   26 16:41:55        3.988678        0.317415
FIRE:   27 16:41:55        3.976394        0.176610
FIRE:   28 16:41:55        3.970247        0.039299
FIRE:   29 16:41:55        3.970175        0.036150
FIRE:   30 16:41:55        3.970064        0.033280
FIRE:   31 16:41:55        3.969962        0.029263
FIRE:   32 16:41:55        3.969902        0.024331
FIRE:   33 16:41:55        3.969880        0.018906
FIRE:   34 16:41:55        3.969876        0.018832
FIRE:   35 16:41:55        3.969868        0.018685
FIRE:   36 16:41:55        3.969858        0.018465
FIRE:   37 16:41:56        3.969845        0.018171
FIRE:   38 16:41:56        3.969831        0.017802
FIRE:   39 16:41:56        3.969818        0.017355
FIRE:   40 16:41:56        3.969805        0.016827
FIRE:   41 16:41:56        3.969793        0.016145
FIRE:   42 16:41:56        3.969781        0.015279
FIRE:   43 16:41:56        3.969769        0.014209
FIRE:   44 16:41:56        3.969754        0.012927
FIRE:   45 16:41:56        3.969736        0.012672
FIRE:   46 16:41:56        3.969714        0.012733
FIRE:   47 16:41:56        3.969689        0.012447
FIRE:   48 16:41:56        3.969665        0.011675
FIRE:   49 16:41:56        3.969644        0.010304
FIRE:   50 16:41:56        3.969624        0.008399
