      Step     Time          Energy          fmax
BFGS:    0 11:26:38       68.235062       97.902264
BFGS:    1 11:26:38      -17.248827       27.304960
BFGS:    2 11:26:38      -36.700226       20.797633
BFGS:    3 11:26:39      -55.036266       10.206558
BFGS:    4 11:26:39      -66.274216        4.712762
BFGS:    5 11:26:39      -69.965836        2.330541
BFGS:    6 11:26:39      -70.736015        1.486244
BFGS:    7 11:26:40      -71.143364        1.465873
BFGS:    8 11:26:40      -71.484703        1.508804
BFGS:    9 11:26:40      -71.917480        1.546577
BFGS:   10 11:26:41      -72.385040        1.433978
BFGS:   11 11:26:41      -72.893082        1.253291
BFGS:   12 11:26:41      -73.588074        2.550964
BFGS:   13 11:26:42      -74.338333        3.325914
BFGS:   14 11:26:42      -74.900703        2.995096
BFGS:   15 11:26:42      -75.452820        1.880496
BFGS:   16 11:26:42      -75.922981        0.815501
BFGS:   17 11:26:43      -76.103195        0.631614
BFGS:   18 11:26:43      -76.199455        0.606663
BFGS:   19 11:26:44      -76.275719        0.582748
BFGS:   20 11:26:44      -76.378563        0.509499
BFGS:   21 11:26:44      -76.487228        0.384138
BFGS:   22 11:26:45      -76.560684        0.287575
BFGS:   23 11:26:45      -76.586510        0.262926
BFGS:   24 11:26:46      -76.594650        0.274841
BFGS:   25 11:26:46      -76.619614        0.308907
BFGS:   26 11:26:47      -76.652176        0.346634
BFGS:   27 11:26:47      -76.708572        0.400524
BFGS:   28 11:26:47      -76.752197        0.429636
BFGS:   29 11:26:48      -76.775406        0.434224
BFGS:   30 11:26:48      -76.803391        0.437860
BFGS:   31 11:26:48      -76.850296        0.583620
BFGS:   32 11:26:49      -76.905403        0.711214
BFGS:   33 11:26:49      -76.968048        0.816174
BFGS:   34 11:26:50      -77.037292        0.896981
BFGS:   35 11:26:50      -77.112732        0.950517
BFGS:   36 11:26:50      -77.195267        0.970283
BFGS:   37 11:26:51      -77.287262        0.946972
BFGS:   38 11:26:52      -77.391701        0.873934
BFGS:   39 11:26:52      -77.510429        0.755140
BFGS:   40 11:26:52      -77.647888        0.611017
BFGS:   41 11:26:53      -77.795242        0.521275
BFGS:   42 11:26:53      -77.939354        0.369058
BFGS:   43 11:26:54      -77.991562        0.216633
BFGS:   44 11:26:54      -78.003342        0.195321
BFGS:   45 11:26:55      -78.015694        0.171394
BFGS:   46 11:26:55      -78.027687        0.119015
BFGS:   47 11:26:56      -78.033401        0.105854
BFGS:   48 11:26:56      -78.035797        0.071610
BFGS:   49 11:26:57      -78.036446        0.071173
BFGS:   50 11:26:57      -78.037262        0.070983
BFGS:   51 11:26:57      -78.040268        0.082076
BFGS:   52 11:26:58      -78.047241        0.139052
BFGS:   53 11:26:58      -78.065399        0.245074
BFGS:   54 11:26:59      -78.101807        0.329426
BFGS:   55 11:26:59      -78.150330        0.357930
BFGS:   56 11:26:59      -78.273544        0.450270
BFGS:   57 11:27:00      -78.312195        0.516713
BFGS:   58 11:27:00      -78.367622        0.434722
BFGS:   59 11:27:00      -78.441879        0.294620
BFGS:   60 11:27:01      -78.512695        0.299989
BFGS:   61 11:27:01      -78.558189        0.203187
BFGS:   62 11:27:01      -78.564888        0.220640
BFGS:   63 11:27:02      -78.576950        0.227266
BFGS:   64 11:27:02      -78.594254        0.212264
BFGS:   65 11:27:03      -78.620529        0.171789
BFGS:   66 11:27:03      -78.647835        0.167837
BFGS:   67 11:27:03      -78.670509        0.127869
BFGS:   68 11:27:04      -78.675873        0.089173
BFGS:   69 11:27:04      -78.676491        0.079851
BFGS:   70 11:27:05      -78.676712        0.074748
BFGS:   71 11:27:05      -78.676826        0.070641
BFGS:   72 11:27:05      -78.676857        0.068545
BFGS:   73 11:27:06      -78.676941        0.064460
BFGS:   74 11:27:06      -78.676956        0.062996
BFGS:   75 11:27:07      -78.677116        0.055840
BFGS:   76 11:27:07      -78.677467        0.053180
BFGS:   77 11:27:07      -78.678185        0.060044
BFGS:   78 11:27:08      -78.679153        0.050626
BFGS:   79 11:27:08      -78.679871        0.024721
BFGS:   80 11:27:09      -78.680084        0.004909
