      Step     Time          Energy          fmax
FIRE:    0 16:43:03      104.983059      172.153037
FIRE:    1 16:43:03       54.583178       85.953790
FIRE:    2 16:43:03       30.022655       41.660122
FIRE:    3 16:43:03       18.699771       19.481854
FIRE:    4 16:43:03       13.967790       13.440031
FIRE:    5 16:43:03       12.325829       12.721887
FIRE:    6 16:43:03       11.892502       12.345755
FIRE:    7 16:43:03       10.278266       11.003843
FIRE:    8 16:43:03        8.138758        9.080238
FIRE:    9 16:43:03        6.430806        7.313482
FIRE:   10 16:43:03        5.337761        5.919561
FIRE:   11 16:43:03        4.577015        4.712885
FIRE:   12 16:43:03        3.919641        3.492726
FIRE:   13 16:43:03        3.360988        2.224733
FIRE:   14 16:43:03        2.970435        1.300862
FIRE:   15 16:43:03        2.873751        1.050009
FIRE:   16 16:43:03        2.870716        1.050255
FIRE:   17 16:43:04        2.864671        1.050735
FIRE:   18 16:43:04        2.855663        1.051423
FIRE:   19 16:43:04        2.843762        1.052283
FIRE:   20 16:43:04        2.829061        1.053266
FIRE:   21 16:43:04        2.811673        1.054312
FIRE:   22 16:43:04        2.791733        1.055351
FIRE:   23 16:43:04        2.766885        1.056398
FIRE:   24 16:43:04        2.736307        1.057295
FIRE:   25 16:43:04        2.699159        1.057775
FIRE:   26 16:43:04        2.654659        1.057408
FIRE:   27 16:43:04        2.602192        1.055541
FIRE:   28 16:43:04        2.541472        1.051212
FIRE:   29 16:43:04        2.472698        1.043074
FIRE:   30 16:43:04        2.396578        1.029356
FIRE:   31 16:43:04        2.313847        1.007966
FIRE:   32 16:43:04        2.223836        0.976837
FIRE:   33 16:43:04        2.122217        0.934367
FIRE:   34 16:43:04        1.999889        0.879059
FIRE:   35 16:43:04        1.846125        0.806377
FIRE:   36 16:43:04        1.656049        0.705531
FIRE:   37 16:43:04        1.436719        0.558081
FIRE:   38 16:43:04        1.240293        0.413929
FIRE:   39 16:43:04        1.086575        0.375372
FIRE:   40 16:43:04        0.981622        0.342996
FIRE:   41 16:43:04        0.915811        0.388433
FIRE:   42 16:43:04        0.874120        0.660574
FIRE:   43 16:43:04        0.831837        0.835960
FIRE:   44 16:43:04        0.765108        0.853480
FIRE:   45 16:43:04        0.668946        0.716715
FIRE:   46 16:43:04        0.555340        0.758515
FIRE:   47 16:43:04        0.437088        0.780378
FIRE:   48 16:43:04        0.324218        0.711746
FIRE:   49 16:43:04        0.232107        0.551386
FIRE:   50 16:43:04        0.174705        0.345325
FIRE:   51 16:43:05        0.152485        0.489552
FIRE:   52 16:43:05        0.130936        0.367569
FIRE:   53 16:43:05        0.102493        0.261009
FIRE:   54 16:43:05        0.076061        0.331992
FIRE:   55 16:43:05        0.050058        0.320189
FIRE:   56 16:43:05        0.026922        0.212739
FIRE:   57 16:43:05        0.016384        0.156917
FIRE:   58 16:43:05        0.017680        0.233780
FIRE:   59 16:43:05        0.016291        0.217337
FIRE:   60 16:43:05        0.013913        0.186218
FIRE:   61 16:43:05        0.011189        0.143812
FIRE:   62 16:43:05        0.008744        0.094959
FIRE:   63 16:43:05        0.006929        0.068592
FIRE:   64 16:43:05        0.005674        0.098646
FIRE:   65 16:43:05        0.004629        0.115382
FIRE:   66 16:43:05        0.003379        0.116573
FIRE:   67 16:43:05        0.001912        0.098626
FIRE:   68 16:43:05        0.000721        0.060375
FIRE:   69 16:43:05        0.000652        0.039032
FIRE:   70 16:43:05        0.000618        0.037911
FIRE:   71 16:43:05        0.000552        0.035729
FIRE:   72 16:43:05        0.000461        0.032604
FIRE:   73 16:43:05        0.000352        0.028717
FIRE:   74 16:43:05        0.000233        0.024307
FIRE:   75 16:43:05        0.000111        0.021094
FIRE:   76 16:43:05       -0.000010        0.024090
FIRE:   77 16:43:05       -0.000138        0.026655
FIRE:   78 16:43:05       -0.000274        0.028206
FIRE:   79 16:43:05       -0.000413        0.028056
FIRE:   80 16:43:05       -0.000550        0.025557
FIRE:   81 16:43:05       -0.000670        0.020341
FIRE:   82 16:43:05       -0.000755        0.012866
FIRE:   83 16:43:05       -0.000806        0.012215
FIRE:   84 16:43:05       -0.000845        0.014186
FIRE:   85 16:43:05       -0.000898        0.011825
FIRE:   86 16:43:06       -0.000958        0.009922
