      Step     Time          Energy          fmax
FIRE:    0 13:02:50       65.573601       77.123719
FIRE:    1 13:02:50       40.517971       41.247300
FIRE:    2 13:02:50       26.712492       22.288631
FIRE:    3 13:02:50       19.318476       12.407960
FIRE:    4 13:02:50       15.462581        7.321200
FIRE:    5 13:02:50       13.474474        4.997933
FIRE:    6 13:02:50       12.426037        4.597910
FIRE:    7 13:02:50       11.861507        4.304919
FIRE:    8 13:02:50       11.598344        4.091095
FIRE:    9 13:02:50       11.553801        3.924559
FIRE:   10 13:02:50       11.166249        3.855784
FIRE:   11 13:02:50       10.510269        3.742770
FIRE:   12 13:02:50        9.747699        3.615093
FIRE:   13 13:02:50        8.991125        3.478044
FIRE:   14 13:02:50        8.262474        3.295775
FIRE:   15 13:02:50        7.535905        3.016348
FIRE:   16 13:02:50        6.822382        2.622449
FIRE:   17 13:02:50        6.137342        2.101983
FIRE:   18 13:02:50        5.656714        1.596159
FIRE:   19 13:02:50        5.343013        1.326486
FIRE:   20 13:02:50        5.122788        1.715543
FIRE:   21 13:02:50        4.953422        1.750104
FIRE:   22 13:02:51        4.834789        1.436454
FIRE:   23 13:02:51        4.778245        1.320864
FIRE:   24 13:02:51        4.759351        1.267074
FIRE:   25 13:02:51        4.724578        1.163426
FIRE:   26 13:02:51        4.679310        1.017213
FIRE:   27 13:02:51        4.630187        0.838043
FIRE:   28 13:02:51        4.583874        0.636630
FIRE:   29 13:02:51        4.545965        0.509046
FIRE:   30 13:02:51        4.520221        0.365974
FIRE:   31 13:02:51        4.507561        0.167748
FIRE:   32 13:02:51        4.510009        0.219275
FIRE:   33 13:02:51        4.509714        0.217120
FIRE:   34 13:02:51        4.509141        0.212839
FIRE:   35 13:02:51        4.508318        0.206490
FIRE:   36 13:02:51        4.507289        0.198160
FIRE:   37 13:02:51        4.506105        0.187959
FIRE:   38 13:02:51        4.504820        0.176025
FIRE:   39 13:02:51        4.503491        0.162521
FIRE:   40 13:02:51        4.502031        0.146260
FIRE:   41 13:02:51        4.500494        0.141736
FIRE:   42 13:02:51        4.498941        0.136960
FIRE:   43 13:02:51        4.497420        0.132279
FIRE:   44 13:02:52        4.495923        0.128170
FIRE:   45 13:02:52        4.494357        0.125153
FIRE:   46 13:02:52        4.492550        0.123684
FIRE:   47 13:02:52        4.490289        0.124086
FIRE:   48 13:02:52        4.487380        0.126461
FIRE:   49 13:02:52        4.483677        0.130518
FIRE:   50 13:02:52        4.479042        0.135318
FIRE:   51 13:02:52        4.473272        0.139154
FIRE:   52 13:02:52        4.466149        0.139985
FIRE:   53 13:02:52        4.457665        0.136616
FIRE:   54 13:02:52        4.447863        0.130318
FIRE:   55 13:02:52        4.435963        0.125084
FIRE:   56 13:02:52        4.420490        0.124681
FIRE:   57 13:02:52        4.401333        0.129953
FIRE:   58 13:02:52        4.378847        0.136618
FIRE:   59 13:02:52        4.350515        0.139953
FIRE:   60 13:02:52        4.314294        0.145468
FIRE:   61 13:02:52        4.267760        0.160026
FIRE:   62 13:02:52        4.215222        0.175640
FIRE:   63 13:02:52        4.158725        0.190121
FIRE:   64 13:02:52        4.101223        0.203267
FIRE:   65 13:02:52        4.042640        0.211500
FIRE:   66 13:02:52        3.983702        0.212814
FIRE:   67 13:02:52        3.926010        0.206980
FIRE:   68 13:02:52        3.869765        0.197034
FIRE:   69 13:02:52        3.815647        0.188324
FIRE:   70 13:02:52        3.764430        0.179207
FIRE:   71 13:02:52        3.715920        0.168982
FIRE:   72 13:02:52        3.668107        0.162003
FIRE:   73 13:02:52        3.618857        0.158757
FIRE:   74 13:02:52        3.566221        0.160519
FIRE:   75 13:02:52        3.509935        0.165878
FIRE:   76 13:02:52        3.451068        0.171032
FIRE:   77 13:02:52        3.390366        0.176654
FIRE:   78 13:02:52        3.328627        0.182884
FIRE:   79 13:02:52        3.267560        0.185947
FIRE:   80 13:02:52        3.210267        0.192848
FIRE:   81 13:02:52        3.159785        0.204106
FIRE:   82 13:02:52        3.119646        0.211774
FIRE:   83 13:02:52        3.089606        0.208279
FIRE:   84 13:02:53        3.064114        0.199643
FIRE:   85 13:02:53        3.036331        0.234862
FIRE:   86 13:02:53        3.003970        0.227393
FIRE:   87 13:02:53        2.971610        0.188468
FIRE:   88 13:02:53        2.948759        0.128345
FIRE:   89 13:02:53        2.946713        0.110592
FIRE:   90 13:02:53        2.941002        0.101048
FIRE:   91 13:02:53        2.940272        0.056500
FIRE:   92 13:02:53        2.940038        0.031318
FIRE:   93 13:02:53        2.939924        0.018823
FIRE:   94 13:02:53        2.939917        0.018849
FIRE:   95 13:02:53        2.939904        0.018903
FIRE:   96 13:02:53        2.939888        0.018981
FIRE:   97 13:02:53        2.939869        0.019086
FIRE:   98 13:02:53        2.939848        0.019215
FIRE:   99 13:02:53        2.939825        0.019366
FIRE:  100 13:02:53        2.939798        0.019537
FIRE:  101 13:02:53        2.939764        0.019744
FIRE:  102 13:02:53        2.939721        0.019986
FIRE:  103 13:02:53        2.939670        0.020252
FIRE:  104 13:02:53        2.939611        0.020518
FIRE:  105 13:02:53        2.939543        0.020739
FIRE:  106 13:02:53        2.939461        0.020843
FIRE:  107 13:02:53        2.939366        0.020721
FIRE:  108 13:02:53        2.939260        0.020233
FIRE:  109 13:02:53        2.939138        0.019273
FIRE:  110 13:02:53        2.939006        0.017737
FIRE:  111 13:02:53        2.938866        0.015602
FIRE:  112 13:02:53        2.938728        0.012885
FIRE:  113 13:02:53        2.938596        0.009645
