      Step     Time          Energy          fmax
BFGS:    0 15:33:06       78.715370      103.196449
BFGS:    1 15:33:06      -10.940150       20.668140
BFGS:    2 15:33:07      -18.870346        9.479854
BFGS:    3 15:33:07      -24.890129        6.330270
BFGS:    4 15:33:07      -28.215599        5.092140
BFGS:    5 15:33:07      -30.608185        3.873754
BFGS:    6 15:33:07      -32.357971        2.840857
BFGS:    7 15:33:07      -33.589508        2.357927
BFGS:    8 15:33:08      -34.391659        1.690297
BFGS:    9 15:33:08      -34.828041        0.989812
BFGS:   10 15:33:08      -34.947140        0.488132
BFGS:   11 15:33:08      -34.955383        0.349402
BFGS:   12 15:33:08      -34.959652        0.253835
BFGS:   13 15:33:08      -34.966362        0.092499
BFGS:   14 15:33:08      -34.970169        0.035159
BFGS:   15 15:33:09      -34.971016        0.020588
BFGS:   16 15:33:09      -34.971092        0.004740
