      Step     Time          Energy          fmax
FIRE:    0 14:01:45       37.364963       19.609922
FIRE:    1 14:01:45       31.307173       15.965531
FIRE:    2 14:01:46       26.707512       12.910509
FIRE:    3 14:01:46       23.508938       10.441828
FIRE:    4 14:01:46       21.537152        8.505686
FIRE:    5 14:01:46       20.488178        7.014762
FIRE:    6 14:01:46       19.925531        5.872730
FIRE:    7 14:01:46       19.378508        4.987704
FIRE:    8 14:01:46       18.473315        4.299186
FIRE:    9 14:01:46       17.159700        3.779344
FIRE:   10 14:01:46       15.682837        3.405770
FIRE:   11 14:01:46       14.316619        3.152850
FIRE:   12 14:01:46       13.210600        2.997027
FIRE:   13 14:01:46       12.393140        2.915418
FIRE:   14 14:01:46       11.815506        2.844488
FIRE:   15 14:01:46       11.391884        2.714846
FIRE:   16 14:01:46       11.041838        2.483878
FIRE:   17 14:01:46       10.722587        2.142183
FIRE:   18 14:01:46       10.430966        1.703790
FIRE:   19 14:01:46       10.185503        1.206397
FIRE:   20 14:01:46       10.003580        0.757082
FIRE:   21 14:01:46        9.885563        0.838361
FIRE:   22 14:01:46        9.811293        0.910505
FIRE:   23 14:01:46        9.749821        0.976541
FIRE:   24 14:01:46        9.668445        1.036409
FIRE:   25 14:01:46        9.539650        1.088021
FIRE:   26 14:01:46        9.348262        1.128262
FIRE:   27 14:01:47        9.095161        1.154049
FIRE:   28 14:01:47        8.794234        1.163337
FIRE:   29 14:01:47        8.464863        1.155394
FIRE:   30 14:01:47        8.125450        1.130436
FIRE:   31 14:01:47        7.790471        1.089214
FIRE:   32 14:01:47        7.470248        1.033034
FIRE:   33 14:01:47        7.171520        0.962606
FIRE:   34 14:01:47        6.899363        0.874911
FIRE:   35 14:01:47        6.659148        0.765287
FIRE:   36 14:01:47        6.456460        0.633884
FIRE:   37 14:01:47        6.297860        0.480584
FIRE:   38 14:01:47        6.188798        0.448667
FIRE:   39 14:01:47        6.132684        0.464154
FIRE:   40 14:01:47        6.129937        0.448378
FIRE:   41 14:01:47        6.044323        0.226654
FIRE:   42 14:01:47        6.065258        0.182602
FIRE:   43 14:01:47        6.049909        0.134191
FIRE:   44 14:01:47        6.033827        0.054599
FIRE:   45 14:01:47        6.031964        0.045724
FIRE:   46 14:01:47        6.031682        0.042692
FIRE:   47 14:01:47        6.031188        0.036827
FIRE:   48 14:01:47        6.030600        0.028515
FIRE:   49 14:01:47        6.030062        0.022423
FIRE:   50 14:01:47        6.029699        0.018594
FIRE:   51 14:01:48        6.029583        0.013763
FIRE:   52 14:01:48        6.029581        0.013674
FIRE:   53 14:01:48        6.029577        0.013496
FIRE:   54 14:01:48        6.029571        0.013230
FIRE:   55 14:01:48        6.029563        0.012878
FIRE:   56 14:01:48        6.029554        0.012442
FIRE:   57 14:01:48        6.029544        0.011924
FIRE:   58 14:01:48        6.029533        0.011328
FIRE:   59 14:01:48        6.029521        0.010581
FIRE:   60 14:01:48        6.029508        0.009655
